srcId,DestId,Message,Ticks
1,0,packet_0,2
2,0,packet_1,4
3,0,packet_2,7
4,0,packet_3,7
5,0,packet_4,24
6,0,packet_5,3
7,0,packet_6,2
8,0,packet_7,12
9,0,packet_8,5
10,0,packet_9,4
11,0,packet_10,5
12,0,packet_11,12
13,0,packet_12,26
14,0,packet_13,5
15,0,packet_14,7
16,0,packet_15,6
17,0,packet_16,7
18,0,packet_17,1
3,1,packet_20,1
7,1,packet_24,1
9,1,packet_26,1
13,1,packet_30,1
15,1,packet_32,3
17,1,packet_34,3
0,2,packet_36,1
3,2,packet_38,1
4,2,packet_39,3
6,2,packet_41,3
8,2,packet_43,3
10,2,packet_45,1
11,2,packet_46,1
12,2,packet_47,3
14,2,packet_49,1
15,2,packet_50,3
16,2,packet_51,1
17,2,packet_52,3
18,2,packet_53,1
0,3,packet_54,1
1,3,packet_55,1
2,3,packet_56,1
4,3,packet_57,5
6,3,packet_59,3
7,3,packet_60,3
8,3,packet_61,4
9,3,packet_62,1
10,3,packet_63,3
11,3,packet_64,3
13,3,packet_66,1
14,3,packet_67,1
15,3,packet_68,1
17,3,packet_70,1
0,4,packet_72,5
6,4,packet_77,1
8,4,packet_79,8
10,4,packet_81,1
12,4,packet_83,1
14,4,packet_85,3
17,4,packet_88,20
2,5,packet_92,5
4,5,packet_94,3
8,5,packet_97,9
10,5,packet_99,1
